exp,tf,rank,frac,fam_rank,size,max_jac,top_nb,miss,fam_miss
DataSet_03_117,HES6,175.0,0.22845953002610966,2.0,9,0.16666666666666666,ZNF423,True,True
DataSet_03_119,HIF1A,141.0,0.18407310704960836,1.0,463,0.16429495472186287,STAT3,True,False
DataSet_03_122,HINFP,209.0,0.27284595300261094,1.0,10,0.1111111111111111,KDM2A,True,False
DataSet_03_123,HINFP,101.0,0.13185378590078328,1.0,10,0.1111111111111111,KDM2A,True,False
DataSet_03_124,HMGA1,24.0,0.031331592689295036,1.0,74,0.125,HMGA2,False,False
DataSet_03_127,HOXB7,354.0,0.4621409921671018,4.0,23,0.10344827586206896,HOXA11,True,True
DataSet_03_129,HSF1,3.0,0.0039164490861618795,1.0,103,0.1415929203539823,HSF2,False,False
DataSet_03_143,JUN,10.0,0.013054830287206266,1.0,662,0.4134831460674157,AP1,False,False
DataSet_03_148,KLF5,2.0,0.0026109660574412533,1.0,76,0.10810810810810811,KLF4,False,False
DataSet_03_149,KLF5,27.0,0.03524804177545692,1.0,76,0.10810810810810811,KLF4,False,False
DataSet_03_150,KLF5,427.0,0.5574412532637075,3.0,76,0.10810810810810811,KLF4,True,True
DataSet_03_151,KLF5,169.0,0.2206266318537859,2.0,76,0.10810810810810811,KLF4,True,True
DataSet_03_155,MAFB,52.0,0.06788511749347259,1.0,47,0.10891089108910891,MAF,False,False
DataSet_03_165,MITF,7.0,0.009138381201044387,1.0,112,0.09770114942528736,ID1,False,False
DataSet_03_168,MITF,42.0,0.05483028720626632,1.0,112,0.09770114942528736,ID1,False,False
DataSet_03_173,MYB,40.0,0.05221932114882506,1.0,183,0.13513513513513514,ETS2,False,False
DataSet_03_178,MYC,1.0,0.0013054830287206266,1.0,887,0.15890751086281812,TP53,False,False
DataSet_03_189,NCOA1,4.0,0.005221932114882507,1.0,91,0.2116788321167883,NCOA3,False,False
DataSet_03_190,NCOA2,4.0,0.005221932114882507,1.0,65,0.23893805309734514,NCOA3,False,False
DataSet_03_191,NCOA3,506.0,0.660574412532637,3.0,75,0.23893805309734514,NCOA2,True,True
DataSet_03_192,NCOR1,12.0,0.015665796344647518,1.0,90,0.2230769230769231,NCOR2,False,False
DataSet_03_202,NR2F2,1.0,0.0013054830287206266,1.0,79,0.20175438596491227,NR2F1,False,False
DataSet_03_205,PARK7,376.0,0.4908616187989556,2.0,8,0.125,NKRF,True,True
DataSet_03_207,PBX1,185.0,0.24151436031331594,1.0,62,0.1388888888888889,PKNOX1,True,False
DataSet_03_208,PBX1,285.0,0.3720626631853786,1.0,62,0.1388888888888889,PKNOX1,True,False
DataSet_03_209,PBX1,436.0,0.5691906005221932,4.0,62,0.1388888888888889,PKNOX1,True,True
DataSet_03_214,PPARG,18.0,0.02349869451697128,2.0,368,0.2754491017964072,PPARA,False,True
DataSet_03_217,PRRX1,539.0,0.7036553524804178,3.0,7,0.09090909090909091,HOXB5,True,True
DataSet_03_222,RELA,10.0,0.013054830287206266,2.0,560,0.5608214849921012,NFKB1,False,True
DataSet_03_223,RELA,5.0,0.006527415143603133,2.0,560,0.5608214849921012,NFKB1,False,True
DataSet_03_225,RELB,105.0,0.1370757180156658,1.0,59,0.3333333333333333,NFKB2,True,False
DataSet_03_228,REST,1.0,0.0013054830287206266,1.0,75,0.0625,NR4A2,False,False
DataSet_03_229,SATB1,2.0,0.0026109660574412533,1.0,45,0.10185185185185185,HMGA1,False,False
DataSet_03_235,SMARCA4,728.0,0.9503916449086162,4.0,10,0.16666666666666666,ZBTB33,True,True
DataSet_03_236,SMARCC1,6.0,0.007832898172323759,1.0,9,0.16666666666666666,PA2G4,False,False
DataSet_03_237,SOX11,157.0,0.20496083550913838,2.0,12,0.058823529411764705,POU4F3,True,True
DataSet_03_238,SOX11,143.0,0.1866840731070496,2.0,12,0.058823529411764705,POU4F3,True,True
DataSet_03_239,SOX11,1.0,0.0013054830287206266,1.0,12,0.058823529411764705,POU4F3,False,False
DataSet_03_241,SOX2,179.0,0.23368146214099217,3.0,91,0.19230769230769232,POU5F1,True,True
DataSet_03_242,SOX2,19.0,0.024804177545691905,2.0,91,0.19230769230769232,POU5F1,False,True
DataSet_03_244,SOX2,5.0,0.006527415143603133,3.0,91,0.19230769230769232,POU5F1,False,True
DataSet_03_246,SOX4,636.0,0.8302872062663186,6.0,24,0.075,PML,True,True
DataSet_03_249,SP1,565.0,0.737597911227154,1.0,1304,0.2903703703703704,SP3,True,False
DataSet_03_251,SP1,77.0,0.10052219321148825,2.0,1304,0.2903703703703704,SP3,True,True
DataSet_03_253,SPIB,13.0,0.016971279373368148,1.0,18,0.1,IRF4,False,False
DataSet_03_255,SSRP1,448.0,0.5848563968668408,3.0,147,0.11764705882352941,ATF2,True,True
DataSet_03_256,STAT1,53.0,0.06919060052219321,2.0,305,0.1967741935483871,STAT3,False,True
DataSet_03_258,STAT3,37.0,0.048302872062663184,6.0,437,0.1967741935483871,STAT1,False,True
DataSet_03_259,STAT3,341.0,0.4451697127937337,5.0,437,0.1967741935483871,STAT1,True,True
DataSet_03_260,STAT3,492.0,0.6422976501305483,3.0,437,0.1967741935483871,STAT1,True,True
DataSet_03_261,STAT3,8.0,0.010443864229765013,3.0,437,0.1967741935483871,STAT1,False,True
DataSet_03_262,STAT3,741.0,0.9673629242819843,3.0,437,0.1967741935483871,STAT1,True,True
DataSet_03_264,STAT6,694.0,0.9060052219321149,6.0,127,0.13432835820895522,BCL6,True,True
DataSet_03_267,TCF7L1,51.0,0.06657963446475196,2.0,6,0.08333333333333333,HES5,False,True
DataSet_03_274,TFAP2C,43.0,0.05613577023498695,1.0,35,0.08695652173913043,RARG,False,False
DataSet_03_275,TFE3,42.0,0.05483028720626632,1.0,37,0.125,TFEB,False,False
DataSet_03_277,TP53,217.0,0.283289817232376,3.0,980,0.1970649895178197,SP1,True,True
DataSet_03_284,TWIST2,10.0,0.013054830287206266,1.0,35,0.32558139534883723,TWIST1,False,False
DataSet_03_287,ZHX2,623.0,0.8133159268929504,5.0,11,0.14285714285714285,STOX1,True,True
DataSet_04_015,NKRF,158.0,0.206266318537859,3.0,10,0.15384615384615385,NFKBIB,True,True
DataSet_04_019,SMAD2,731.0,0.9543080939947781,6.0,108,0.3686635944700461,SMAD3,True,True
DataSet_04_020,SMAD4,259.0,0.3381201044386423,3.0,141,0.3253012048192771,SMAD3,True,True
DataSet_04_022,STAT1,625.0,0.8159268929503917,5.0,305,0.1967741935483871,STAT3,True,True
DataSet_04_024,YBX1,291.0,0.37989556135770236,1.0,92,0.08620689655172414,FOXM1,True,False
DataSet_04_036,SMAD2,450.0,0.587467362924282,1.0,108,0.3686635944700461,SMAD3,True,False
DataSet_04_037,SMAD4,107.0,0.13968668407310705,3.0,141,0.3253012048192771,SMAD3,True,True
DataSet_04_041,YBX1,22.0,0.028720626631853787,1.0,92,0.08620689655172414,FOXM1,False,False
