Index,ULM_CollecTRI,random,AUCell_CollecTRI,VIPER_CollecTRI,Consensus_CollecTRI,GSEA_CollecTRI,GSVA_CollecTRI,MDT_CollecTRI,MLM_CollecTRI,ORA_CollecTRI,UDT_CollecTRI,WAGGR_CollecTRI,Zscore_CollecTRI,ULM_TFLink,AUCell_TFLink,VIPER_TFLink,Consensus_TFLink,GSEA_TFLink,GSVA_TFLink,MDT_TFLink,MLM_TFLink,ORA_TFLink,UDT_TFLink,WAGGR_TFLink,Zscore_TFLink,ULM_ChIP-Atlas,AUCell_ChIP-Atlas,VIPER_ChIP-Atlas,Consensus_ChIP-Atlas,GSEA_ChIP-Atlas,GSVA_ChIP-Atlas,MDT_ChIP-Atlas,ORA_ChIP-Atlas,UDT_ChIP-Atlas,Zscore_ChIP-Atlas,pySCENIC,PISCES,hdWGCNA,scMINER,TIGER_DoRothEA,TIGER_CollecTRI,TIGER_ChIP-Atlas,metaTF_Prior,metaTF_PUIC,metaTF_Merge,scRegulate_CollecTRI,scRegulate_TFLink,scRegulate_ChIP-Atlas,MLM_ChIP-Atlas,WAGGR_ChIP-Atlas,UCell_TFLink,UCell_CollecTRI,UCell_ChIP-Atlas,metaTF_AUCell,metaTF_UCell,metaTF_ULM,metaTF_VIPER,pySCENIC_AUCell,pySCENIC_UCell,pySCENIC_ULM,pySCENIC_VIPER,pySCENIC_v9
ADNP__PRJNA595864,,0.5382655035545678,,,,,,,,,,,,,,,,,,,,,,,,0.4582805557231035,0.4682027464463076,0.4661821179403663,0.4445081126726582,0.4704646440275851,0.4576572772784848,0.5335464543498804,0.4907010877214146,0.4609445684299415,0.4582705028449645,,0.599718588215076,,0.4805902038332826,0.4605161787365177,0.5002713141179099,0.4827336851720288,0.4978508072051868,0.7552342971086741,0.5033339242128803,,,0.3600736734520057,,0.4570541045901442,,,0.4804102186195038,0.4583955244507833,0.4698663305582274,0.4876060013046314,0.5006799562174533,,,,,
AHR__PRJNA551220,0.5386566762986359,0.498890240194588,0.4660607486056044,0.4938075398158726,0.5104159666689067,0.605174383441973,0.4932161817082185,0.4947449768160741,0.5125260399166722,0.5551239836032524,0.4749479201666555,0.5355722061689403,0.5344634097170889,0.506679061784897,0.5197082379862701,0.5260512013729978,0.5056135583524027,0.4755577803203661,0.531578947368421,0.4275815217391304,,0.0989487986270022,0.4830449084668192,0.5050343249427918,0.5067005148741419,0.2957753708741851,0.3301396232226272,0.3379908628920487,0.3385221497869719,0.4370668856834864,0.3333684102458806,0.4786612596889276,0.4355705559262872,0.3069734613212874,0.2957882038909706,,0.6536554581498402,,0.3534252439603061,,,,0.4658598912130836,0.1974494485294117,0.0813370331279152,0.553446992257296,0.3345637583892617,0.4561829122845061,,0.2975668600174528,0.5132549484012857,0.5894016753091345,0.3487469261759012,0.2114251361286934,0.1755507338511291,0.0786948229635976,0.0837751181624699,,,,,
ASCL1__exp8,0.3624593333019001,0.454683226140312,0.3773492385308123,0.395690508746287,0.3745768305907869,0.5196567494931397,0.4009712857749068,0.4085058229996699,0.4359187137535951,0.4383610731293318,0.3765948418124381,0.3610165495780093,0.3625724928096562,0.5394228265876274,0.4505437285963191,0.5162918310536119,0.549676566599243,0.624897362465704,0.5061782788937176,0.5407445977609997,,0.793563374922396,0.462980393727595,0.5361985059980373,0.5394428534235876,0.4278110445775116,0.4660923766502084,0.4499212102111566,0.4496760864236439,0.492271597156564,0.4601533774556151,0.4636341352382953,0.4960184893371152,0.4315579367580628,0.4278390587246559,0.5130279980579382,,0.4457768268091067,,0.5298278443113773,0.3871315809938564,0.442251497005988,0.4202687062849092,0.3948611764172695,0.3074151381779029,0.4277129194847714,,0.5808982785367938,,0.4395489722309766,,0.3734441229899751,0.4807068440684264,0.3749091854604966,0.3349393167687613,0.3270547028548267,0.3145700935294162,0.536681738563689,0.4639700191453827,0.423927654894293,0.4547571523619427,0.4550158941376506
ASCL1__pilot_14,0.4279814901593252,0.5181582611386139,0.4056516936671576,0.4313077386530995,0.4195047864506627,0.5937709198018477,0.4021204311152764,0.469448721381711,0.4302533806399786,0.6037956888472352,0.4123753179809881,0.4289354331235774,0.4272367452135493,0.4496298209366391,0.4683539944903581,0.4228477961432507,0.4614755509641873,0.5190857438016528,0.4297434573002755,0.4695850550964187,,0.2193612258953168,0.4602617079889807,0.4490185950413223,0.4496298209366391,0.3218612482558763,0.3325406514972631,0.3478520446495653,0.350662766985081,0.4927182837823334,0.4131694751529462,0.4929832564130084,0.4632962595255984,0.3221161586347537,0.321847831920146,,,0.4891211219336219,,0.5193821662571663,0.3807553216511819,0.2813116843952187,0.4127651515151515,0.3645567070460102,0.5798368851892788,0.664004914004914,,0.2364853390693988,,0.3248899860470108,0.4432682336674732,0.4577280537332084,0.345860194493007,0.623614705220522,0.5934265301530153,0.575386054230423,0.569124099909991,,,,,
ASCL3__pilot_14,,0.5087764185072353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5949288806431664,,,,,0.3646982686560926,0.481259985581794,,,,,,,,,0.6177368938816958,0.5741513153719219,0.48169844027672,0.4801067847169332,,,,,
ASCL4__pilot_14,,0.494442555277892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3858334954709557,,0.5527520607734512,,0.5038582511190375,,,0.3614142392546823,0.3663269467939443,,,,,,,,,0.2605178249454338,0.2781015721380445,0.382542387625344,0.3697213171796413,,,,,
ATF4__exp7,0.4213626478998647,0.4957777076982375,0.4406003321860927,0.4386568723138302,0.4355233643259533,0.4346928990941935,0.4440934230578243,0.5169945720107532,0.4504032465197514,0.4337340114039143,0.4846064279721237,0.4218078457560658,0.4250612147052276,0.4717843147877277,0.4933817288766094,0.4658973942250393,0.4764974628455857,0.4944832692272965,0.4837567943369991,0.5282518012893439,,0.5105188074471351,0.5031511277245065,0.4741679758744605,0.471748198710656,0.4053709638125223,0.4535897003429471,0.4190076397868606,0.4140102321920504,0.4591430695326799,0.4146474016603886,0.4602050186465771,0.5475097293279112,0.4228369033563839,0.4054146911289769,0.419753086419753,0.4714252850898813,0.5020857489371343,0.4403368904128341,0.5160937132768119,0.4056894298690499,0.4255666601345614,0.4192107620919753,0.3307344246678884,0.4116553528318234,0.4075877825877825,0.4292063492063492,0.3889154102186684,,0.4070138615593161,0.4846739445895564,0.4387227759320782,0.4484222604704532,0.3639959525342655,0.374138465574396,0.4017893341782588,0.3984266669392232,0.423241230648638,0.4333529296492259,0.4528316676464824,0.4584477065680073,0.45600756859035
ATF5__K562_essential,0.3607703951145676,0.4893695182991229,0.232162430189467,0.4298936966090784,0.3511317570506463,0.4380534822624701,0.3211371505123788,0.3736277119543469,0.3683386398037475,0.4624458479043791,0.3629973728621883,0.3660594672651669,0.359343737494998,0.4932586367880486,0.569859943977591,0.4873202614379084,0.490905695611578,0.5768067226890756,0.5123062558356676,0.4774976657329599,,0.4223342670401493,0.5002054154995331,0.4931465919701214,0.4932959850606909,0.3711484593837534,0.414719172340469,0.4874665194544971,0.3772107383099225,0.4899916170847901,0.3738473491586415,0.502852235784825,0.5187491054816087,0.3800834202294056,0.3711689055184117,0.3475592484184685,0.5179639652471157,,0.5242826860473919,0.5045331357601045,0.3817649926864944,0.5642446952395734,0.4009894867037724,0.3268219052326813,0.4776697195732226,0.6552541808802729,,0.4679635350284072,0.5418225684434358,0.3719049663661085,,0.4800857843137255,0.410034297319421,0.6028574109069466,0.4979226140216852,0.4665205795236755,0.485129937142321,0.4038088608224355,0.3715379642981453,0.3068469991546915,0.3251144769284959,0.4623226339716214
ATF5__RPE1_essential,0.3085050798258345,0.4858823529411765,0.2468795355587808,0.3802612481857765,0.2705950653120464,0.3174455732946299,0.3032801161103048,0.3648185776487663,0.3172714078374455,0.3779100145137881,0.3224673439767779,0.310043541364296,0.3011030478955007,0.3892368501064153,0.334448160535117,0.4107631498935847,0.3784737002128306,0.4740650653694132,0.4158710854363028,0.3526907874733961,0.5438127090301004,0.3977500760109455,0.5017938583155974,0.3933718455457586,0.3892368501064153,0.2274044303205907,0.1277315636975418,0.2976726796896906,0.2072530143004019,0.4487148331619777,0.2429946723992896,0.6006168800822507,0.4659313954575194,0.643555472474063,0.2273857369847649,,0.3654830584220362,,0.4723921474551197,0.8813609467455622,0.3768099547511312,0.4265088757396449,0.3205810498514361,0.5058903313311374,0.3062399729798192,0.3719658119658119,,0.4682024915958078,,0.2275165903355454,,0.4615748317875977,0.2622801179043453,0.1551249093665546,0.340083053193593,0.2542086876277107,0.4379276250741546,,,,,0.615656108597285
ATF5__exp8,0.3995319640988932,0.5103384270050937,0.4136391167887231,0.4007158196134574,0.4324101095754639,0.5858322779582622,0.4682231154672099,0.4806398326083365,0.3977203898463741,0.4539012168933429,0.4039480204834535,0.4025659379990088,0.4022685975441881,0.5148162873915382,0.5674509437051243,0.5082559580887339,0.4944804359520078,0.4022850059639357,0.5037420773206727,0.5088523516617163,,0.7957176602661552,0.4818392310031106,0.5141614238604205,0.5148045933999111,0.4829018934282091,0.5078558868032552,0.4808980493191019,0.4932728090622827,0.5580378685641844,0.4916533758639022,0.4981638244796139,0.5093485461906515,0.4838138469717417,0.4829141618615303,0.4519703269703269,0.4288214906192434,,0.4782482474790167,0.5025058275058275,0.4019673508309871,0.4741958041958042,0.533751542575072,0.4542080436120171,0.12226732258278,0.535380087538361,,0.5832465406933491,,0.4821412505623032,0.5486746455125902,0.3627720594012729,0.4965327035732763,0.117702221150497,0.1144222954567782,0.1051875965669069,0.1212634747117505,0.4096379810665524,0.3954616811759669,0.406878835450264,0.4731449106449107,0.3495208495208495
