exp,tf,in_filtered_279,profile_id,biosample,knock_method,platform,own_logfc,own_gene_measured,regulon_size,has_self_edge,self_edge_weight,frac_regulon_default,n_studymates,max_jaccard,base_rate10,base_rate5,self_edge_sign_decision,ulm_unmasked_frac,ulm_unmasked_hit10,ulm_unmasked_hit5,ulm_masked_frac,ulm_masked_hit10,ulm_masked_hit5,ulm_masked_symmetric_frac,ulm_masked_symmetric_hit10,ulm_masked_symmetric_hit5,ulm_noselfedge_frac,ulm_noselfedge_hit10,ulm_noselfedge_hit5,ulm_noother_frac,ulm_noother_hit10,ulm_noother_hit5,propagated_unmasked_frac,propagated_unmasked_hit10,propagated_unmasked_hit5,propagated_masked_frac,propagated_masked_hit10,propagated_masked_hit5
DataSet_01_114,ARID1A,True,GSE38380,OE33,siRNA,GPL15207,-1.06589,True,8,False,,0.875,0,0.21428572,0.07547169811320754,0.04661487236403995,,0.7898172323759791,False,False,0.7898172323759791,False,False,0.8511749347258486,False,False,0.7898172323759791,False,False,0.7898172323759791,False,False,0.5052219321148825,False,False,0.5065274151436031,False,False
DataSet_01_345,ARID1A,False,GSE86572,iEEC16,shRNA,GPL10558,-0.266,True,8,False,,0.875,0,0.21428572,0.07547169811320754,0.04661487236403995,,0.07571801566579635,True,False,0.07571801566579635,True,False,0.21409921671018275,False,False,0.07571801566579635,True,False,0.07571801566579635,True,False,0.37989556135770236,False,False,0.37989556135770236,False,False
DataSet_03_013,ARID1A,True,GSE129475,SAS cells,siRNA,GPL16686,-1.27036,True,8,False,,0.875,0,0.21428572,0.07547169811320754,0.04661487236403995,,0.5052219321148825,False,False,0.5052219321148825,False,False,0.4804177545691906,False,False,0.5052219321148825,False,False,0.5052219321148825,False,False,0.2898172323759791,False,False,0.29112271540469975,False,False
DataSet_03_014,ARID1A,False,GSE72669,MDA-MB-157,siRNA,GPL16699,-0.3813363,True,8,False,,0.875,0,0.21428572,0.07547169811320754,0.04661487236403995,,0.293733681462141,False,False,0.293733681462141,False,False,0.4869451697127937,False,False,0.293733681462141,False,False,0.293733681462141,False,False,0.5626631853785901,False,False,0.5626631853785901,False,False
DataSet_01_298,ARID1B,False,GSE75207,IRM90,shRNA,GPL6244,-0.7345,True,5,False,,1.0,0,0.11111111,0.06181015452538632,0.03421633554083885,,0.4281984334203655,False,False,0.4281984334203655,False,False,0.52088772845953,False,False,0.4281984334203655,False,False,0.4281984334203655,False,False,0.5522193211488251,False,False,0.587467362924282,False,False
DataSet_02_050,ARID3A,False,ENCSR898UNK,K562,CRISPRi,-,0.0,True,7,False,,0.7142857142857143,0,0.25,0.14033149171270717,0.08839779005524862,,0.5130548302872062,False,False,0.5130548302872062,False,False,0.4660574412532637,False,False,0.5130548302872062,False,False,0.5130548302872062,False,False,0.5574412532637075,False,False,0.5574412532637075,False,False
DataSet_02_193,ARID3A,False,ENCSR169DSM,K562,siRNA,-,0.0,True,7,False,,0.7142857142857143,0,0.25,0.14033149171270717,0.08839779005524862,,0.5509138381201044,False,False,0.5509138381201044,False,False,0.5456919060052219,False,False,0.5509138381201044,False,False,0.5509138381201044,False,False,0.664490861618799,False,False,0.664490861618799,False,False
DataSet_01_240,ARNT,False,GSE61842,hESC HSF1,shRNA,GPL570,-0.00907,True,68,True,1.0,0.6617647058823529,0,0.16888888,0.09966777408637874,0.048726467331118496,default activation,0.7571801566579635,False,False,0.758485639686684,False,False,0.6579634464751958,False,False,0.7597911227154047,False,False,0.7571801566579635,False,False,0.9295039164490861,False,False,0.9295039164490861,False,False
DataSet_01_307,ARNT,False,GSE76090,WA09/H9,shRNA,GPL10558,-0.15258,True,68,True,1.0,0.6617647058823529,0,0.16888888,0.09966777408637874,0.048726467331118496,default activation,0.09530026109660575,True,False,0.12140992167101827,False,False,0.18276762402088773,False,False,0.1174934725848564,False,False,0.09530026109660575,True,False,0.08485639686684072,True,False,0.1279373368146214,False,False
DataSet_01_315,ARNT,False,GSE80347,HSC3,siRNA,GPL2895,-0.06857,True,68,True,1.0,0.6617647058823529,0,0.16888888,0.09966777408637874,0.048726467331118496,default activation,0.7571801566579635,False,False,0.758485639686684,False,False,0.8420365535248042,False,False,0.7597911227154047,False,False,0.7571801566579635,False,False,0.643603133159269,False,False,0.6488250652741514,False,False
