variant,seeds,top10,top5,top10_min,top10_max,better,worse
ulm,1,0.45161290322580644,0.3548387096774194,0.45161290322580644,0.45161290322580644,0.0,0.0
up sum a=0.5,1,0.5663082437275986,0.4731182795698925,0.5663082437275986,0.5663082437275986,0.5949820788530465,0.36917562724014336
up sum a=0.5 SHUF x10 mean,10,0.3064516129032258,0.1917562724014337,0.27956989247311825,0.32616487455197135,,
up mean a=1,1,0.5125448028673835,0.41935483870967744,0.5125448028673835,0.5125448028673835,0.6129032258064516,0.32974910394265233
up mean a=1 SHUF x10 mean,10,0.41971326164874545,0.3096774193548387,0.40860215053763443,0.43010752688172044,,
ulm + 0.5*own mRNA,1,0.6630824372759857,0.5555555555555556,0.6630824372759857,0.6630824372759857,0.910394265232975,0.007168458781362007
ulm + 1*own mRNA,1,0.7741935483870968,0.6738351254480287,0.7741935483870968,0.7741935483870968,0.9068100358422939,0.017921146953405017
ulm + 2*own mRNA,1,0.942652329749104,0.8637992831541219,0.942652329749104,0.942652329749104,0.8924731182795699,0.03225806451612903
ulm + 1*own + up mean a=1,1,0.7706093189964157,0.6559139784946236,0.7706093189964157,0.7706093189964157,0.8458781362007168,0.08602150537634409
