variant,top10,top5,better,worse,masked,skipped,orig_top10,delta
coreg-v ulm,0.44086021505376344,0.36200716845878134,0.0,0.0,335,53,0.4372759856630825,0.0035842293906809264
coreg-v up sum a=0.5,0.5627240143369175,0.45878136200716846,0.5949820788530465,0.35842293906810035,335,53,0.5627240143369175,0.0
coreg-v up sum a=0.5 SHUF,0.2917562724014337,0.18351254480286738,0.34695340501792116,0.6318996415770609,335,53,0.29211469534050183,-0.00035842293906812595
logfc-v ulm,0.4444444444444444,0.35842293906810035,0.0,0.0,388,0,0.4444444444444444,0.0
logfc-v up sum a=0.5,0.5663082437275986,0.4731182795698925,0.6093189964157706,0.3548387096774194,388,0,0.5663082437275986,0.0
logfc-v up sum a=0.5 SHUF,0.3003584229390681,0.18888888888888888,0.34336917562724023,0.635483870967742,388,0,0.30000000000000004,0.00035842293906807043
