block,group,variant,n,top10,hits,top5,better,worse
ulm,all,ulm (full net),279,0.45161290322580644,126,0.3548387096774194,0.0,0.0
ulm,all,no self-edge,279,0.34408602150537637,96,0.2724014336917563,0.06093189964157706,0.5913978494623656
ulm,all,no other regulon,279,0.4551971326164875,127,0.3655913978494624,0.4121863799283154,0.035842293906810034
ulm,all,gene off network,279,0.34767025089605735,97,0.2831541218637993,0.15053763440860216,0.5806451612903226
ulm,all,masked (leak.py),279,0.34408602150537637,96,0.27956989247311825,0.15053763440860216,0.5913978494623656
ulm,self-edge,ulm (full net),197,0.5380710659898477,106,0.4263959390862944,0.0,0.0
ulm,self-edge,no self-edge,197,0.38578680203045684,76,0.3096446700507614,0.08629441624365482,0.8375634517766497
ulm,self-edge,no other regulon,197,0.5431472081218274,107,0.4365482233502538,0.48223350253807107,0.03553299492385787
ulm,self-edge,gene off network,197,0.39086294416243655,77,0.3197969543147208,0.1116751269035533,0.8071065989847716
ulm,self-edge,masked (leak.py),197,0.38578680203045684,76,0.3147208121827411,0.1116751269035533,0.8071065989847716
ulm,no self-edge,ulm (full net),82,0.24390243902439024,20,0.18292682926829268,0.0,0.0
ulm,no self-edge,no self-edge,82,0.24390243902439024,20,0.18292682926829268,0.0,0.0
ulm,no self-edge,no other regulon,82,0.24390243902439024,20,0.1951219512195122,0.24390243902439024,0.036585365853658534
ulm,no self-edge,gene off network,82,0.24390243902439024,20,0.1951219512195122,0.24390243902439024,0.036585365853658534
ulm,no self-edge,masked (leak.py),82,0.24390243902439024,20,0.1951219512195122,0.24390243902439024,0.07317073170731707
propagated up/sum/a=0.5,all,ulm (full net),279,0.5663082437275986,158,0.4731182795698925,0.5949820788530465,0.36917562724014336
propagated up/sum/a=0.5,all,no self-edge,279,0.5376344086021505,150,0.4336917562724014,0.5698924731182796,0.3942652329749104
propagated up/sum/a=0.5,all,no other regulon,279,0.32616487455197135,91,0.2222222222222222,0.34767025089605735,0.6379928315412187
propagated up/sum/a=0.5,all,gene off network,279,0.27956989247311825,78,0.1863799283154122,0.32616487455197135,0.6559139784946236
propagated up/sum/a=0.5,all,masked (leak.py),279,0.27598566308243727,77,0.16487455197132617,0.3225806451612903,0.6594982078853047
propagated up/sum/a=0.5,self-edge,ulm (full net),197,0.6598984771573604,130,0.5685279187817259,0.5939086294416244,0.3756345177664975
propagated up/sum/a=0.5,self-edge,no self-edge,197,0.6192893401015228,122,0.5126903553299492,0.5583756345177665,0.41116751269035534
propagated up/sum/a=0.5,self-edge,no other regulon,197,0.3756345177664975,74,0.25888324873096447,0.2893401015228426,0.700507614213198
propagated up/sum/a=0.5,self-edge,gene off network,197,0.3096446700507614,61,0.20812182741116753,0.25888324873096447,0.7258883248730964
propagated up/sum/a=0.5,self-edge,masked (leak.py),197,0.3096446700507614,61,0.17766497461928935,0.25888324873096447,0.7258883248730964
propagated up/sum/a=0.5,no self-edge,ulm (full net),82,0.34146341463414637,28,0.24390243902439024,0.5975609756097561,0.35365853658536583
propagated up/sum/a=0.5,no self-edge,no self-edge,82,0.34146341463414637,28,0.24390243902439024,0.5975609756097561,0.35365853658536583
propagated up/sum/a=0.5,no self-edge,no other regulon,82,0.2073170731707317,17,0.13414634146341464,0.4878048780487805,0.4878048780487805
propagated up/sum/a=0.5,no self-edge,gene off network,82,0.2073170731707317,17,0.13414634146341464,0.4878048780487805,0.4878048780487805
propagated up/sum/a=0.5,no self-edge,masked (leak.py),82,0.1951219512195122,16,0.13414634146341464,0.47560975609756095,0.5
