exp,tf,a,m,regulon_size,multi_tf
DataSet_01_192,AR,0.2565605744776413,-1.3753,492,True
DataSet_01_196,TP63,-1.9155121804971407,-1.31678,197,True
DataSet_01_198,TP63,-2.9281138747739512,-1.73883,197,True
DataSet_01_200,TP63,-0.5150609974897525,-1.21925,197,True
DataSet_01_203,XBP1,-0.2054609368945483,-2.69096,52,True
DataSet_01_204,XBP1,-1.4955223281248997,-1.83171,52,True
DataSet_01_211,REST,-9.657948521003648,-1.90083,73,True
DataSet_01_213,SOX11,-1.6349015523212755,-1.94653,11,True
DataSet_01_214,BCLAF1,0.24260744063845013,-1.2932,7,False
DataSet_01_217,TAL1,-0.7175718177571291,-2.05844,93,False
DataSet_01_220,HIF1A,-4.443859882170666,-1.23384,446,True
DataSet_01_222,KLF9,0.030581262177780975,-2.95993,25,False
DataSet_01_223,FOXM1,-0.4141580245216768,-3.69268,96,True
DataSet_01_224,HIF1A,-2.8211994335848547,-1.95443,446,True
DataSet_01_226,KLF2,0.25699334368411386,-1.74897,65,False
DataSet_01_228,HIF1A,-9.375048670806564,-1.68165,446,True
DataSet_01_233,FOXA1,-0.45579073242124757,-1.43603,69,True
DataSet_01_238,NFYB,-2.5534865947111443,-2.46407,40,False
DataSet_01_244,ETS1,-2.899182219617845,-2.27346,205,True
DataSet_01_246,TLX1,2.2210163019513134,-1.99088,9,False
DataSet_01_247,GATA6,-1.9047801394124944,-1.15245,83,True
DataSet_01_248,SMAD2,-1.7094127892423725,-1.43249,103,True
DataSet_01_255,YBX1,0.37094122602125235,-1.44835,90,True
DataSet_01_256,YBX1,-1.3290378798443638,-1.6777,90,True
DataSet_01_257,YBX1,1.2282353290956436,-1.3417,90,True
DataSet_01_258,YBX1,-1.0010217961666312,-1.78501,90,True
DataSet_01_260,SOX4,-0.9283402052036808,-3.22029,21,True
DataSet_01_261,NFKB2,-1.4500407879448862,-1.50026,72,False
DataSet_01_267,FOXO3,-0.26274372426089027,-1.83034,190,False
DataSet_01_269,SIX4,0.4562774140225691,-3.3989,7,False
DataSet_01_277,SALL4,-0.34690522119889183,-1.96854,20,True
DataSet_01_280,ESRRA,-0.9523552435090625,-1.91149,48,False
DataSet_01_281,MSX1,-2.83632376582897,-4.25376,25,False
DataSet_01_282,IRF7,-0.6927712803548086,-1.8021,31,False
DataSet_01_283,AHR,-3.7448999317323213,-1.92282,190,False
DataSet_01_295,TFAP4,-1.6110250617117743,-3.08766,36,False
DataSet_01_299,SOX7,-1.5811064771966907,-1.87406,6,False
DataSet_01_300,SOX17,-1.4663245990760878,-2.02528,44,True
DataSet_01_304,ETV5,5.238531205582455,-1.12304,23,False
DataSet_01_305,HOXA5,-0.4703857857425807,-1.5133,16,False
DataSet_01_306,NR2E1,-2.459130293904666,-1.10318,16,False
DataSet_01_308,SOX9,-1.321845823303932,-1.10787,103,True
DataSet_01_309,SOX9,-1.321845823303932,-1.10787,103,True
DataSet_01_312,TFAP2C,-1.0432239089549395,-1.5329,33,True
DataSet_01_318,ELK3,-0.4394734784771073,-2.82074,27,False
DataSet_01_324,MYC,-7.687303640420424,-1.68378,844,True
DataSet_01_327,TP63,-2.9453235832048352,-2.18471,197,True
DataSet_01_330,TP63,-2.9453235832048352,-2.18471,197,True
DataSet_01_332,TOX,-0.403776057034063,-1.15678,4,False
DataSet_01_333,HOXC6,-0.3806972525977203,-2.32533,12,False
DataSet_01_336,GRHL3,-0.8227100840590555,-3.45616,28,True
DataSet_01_337,REST,-16.71656137993135,-2.52843,73,True
DataSet_01_338,REST,-17.75200131917802,-2.7384,73,True
DataSet_01_339,KLF4,2.9741538177745737,-1.46365,127,False
DataSet_01_340,KLF7,0.4539234084440886,-1.53167,10,True
DataSet_01_342,KLF7,0.011245680797860137,-1.84779,10,True
DataSet_01_347,GATA3,0.9377287371169798,-1.49625,181,False
DataSet_01_348,HIF1A,-7.183176019105876,-2.45837,446,True
DataSet_01_349,SOX2,-5.136723926798866,-1.66135,87,True
DataSet_01_354,ELK1,-0.19217398278491735,-1.46354,58,True
DataSet_01_356,ETV4,2.081670717460461,-1.64145,61,False
DataSet_01_357,CDX2,0.9284121674897489,-1.29555,76,False
DataSet_01_360,SOX17,-0.6888281704768155,-1.7728,44,True
DataSet_02_015,HOXB9,-1.1057339833161905,-1.13412,6,False
DataSet_02_016,JUND,-3.089758247223674,-1.25221,103,False
DataSet_02_018,STAT2,-2.807413629027028,-1.70754,49,False
DataSet_02_023,STAT1,1.1015481579816135,-1.72967,293,True
DataSet_02_025,USF2,2.220495762938969,-1.99826,111,False
DataSet_02_026,USF1,0.7399707194219642,-1.84996,220,False
DataSet_02_032,NFE2L1,-2.404761736835429,-1.56069,8,False
DataSet_02_033,TEAD2,0.5754649055943193,-2.60937,6,False
DataSet_02_039,RELA,-7.166301634015484,-1.39551,539,True
DataSet_02_040,TEAD4,0.2921731113310757,-1.5798,11,True
