variant,top10,t10_lo,t10_hi,top5,better,worse
any ulm,0.4516129032258064,0.45161290322580644,0.45161290322580644,0.3548387096774194,0.0,0.0
any up sum a=0.5,0.5663082437275986,0.5663082437275986,0.5663082437275986,0.4731182795698925,0.5942652329749103,0.36989247311827955
any up sum a=0.5 SHUF,0.30659498207885305,0.3064516129032258,0.30681003584229394,0.1917562724014337,0.3425089605734767,0.6361290322580645
matched ulm,0.4516129032258064,0.4444444444444444,0.4551971326164875,0.35627240143369177,0.0,0.0
matched up sum a=0.5,0.5663082437275986,0.5663082437275986,0.5663082437275986,0.4716845878136201,0.5956989247311828,0.3663082437275985
matched up sum a=0.5 SHUF,0.3070967741935484,0.3060931899641577,0.3086021505376344,0.19154121863799284,0.34258064516129033,0.6361290322580645
