variant,seeds,top10,top5,top10_min,top10_max,better,worse
ulm,1,0.34408602150537637,0.27956989247311825,0.34408602150537637,0.34408602150537637,0.0,0.0
up sum a=0.5,1,0.27598566308243727,0.16487455197132617,0.27598566308243727,0.27598566308243727,0.4229390681003584,0.5663082437275986
up sum a=0.5 SHUF x10 mean,10,0.2587813620071685,0.16129032258064518,0.23655913978494625,0.2724014336917563,,
up mean a=1,1,0.33691756272401435,0.21863799283154123,0.33691756272401435,0.33691756272401435,0.3906810035842294,0.5698924731182796
up mean a=1 SHUF x10 mean,10,0.3290322580645161,0.2387096774193548,0.30824372759856633,0.35125448028673834,,
