exp,tf,masked_frac,hit10,hit5,regulon_size,own_logfc,sign_class
DataSet_01_155,HSF1,0.02610966057441253,True,True,98,-3.16222,activator-majority
DataSet_01_156,HIF1A,0.031331592689295036,True,True,447,-2.85412,activator-majority
DataSet_01_162,ELK1,0.2950391644908616,False,False,58,-1.74762,no default edges
DataSet_01_164,JUN,0.02741514360313316,True,True,637,-3.11636,activator-majority
DataSet_01_165,MAF,0.04699738903394256,True,True,62,-8.52636,activator-majority
DataSet_01_166,NFATC3,0.6932114882506527,False,False,40,-1.78257,activator-majority
DataSet_01_168,STAT3,0.0026109660574412533,True,True,425,-1.77563,no default edges
DataSet_01_169,HOXB7,0.10704960835509138,False,False,23,-3.53249,activator-majority
DataSet_01_170,HOXB7,0.9647519582245431,False,False,23,-2.7728,activator-majority
DataSet_01_171,FOSL1,0.5195822454308094,False,False,50,-1.41633,activator-majority
DataSet_01_173,ESRRG,0.26762402088772846,False,False,26,-1.14821,activator-majority
DataSet_01_175,TP53,0.005221932114882507,True,True,931,-2.24874,activator-majority
DataSet_01_176,NR2F2,0.283289817232376,False,False,79,-2.13662,repressor-majority
DataSet_01_177,NR2F2,0.3342036553524804,False,False,79,-2.04676,repressor-majority
DataSet_01_180,STAT3,0.9725848563968669,False,False,425,-1.25806,no default edges
DataSet_01_183,TP63,0.04308093994778068,True,True,198,-1.01935,activator-majority
DataSet_01_184,STAT3,0.006527415143603133,True,True,425,-2.20116,no default edges
DataSet_01_185,TCF4,0.7689295039164491,False,False,56,-1.94197,activator-majority
DataSet_01_189,SPDEF,0.9308093994778068,False,False,19,-1.49909,activator-majority
DataSet_01_192,AR,0.43994778067885115,False,False,493,-1.3753,activator-majority
DataSet_01_196,TP63,0.1279373368146214,False,False,198,-1.31678,activator-majority
DataSet_01_198,TP63,0.09399477806788512,True,False,198,-1.73883,activator-majority
DataSet_01_200,TP63,0.2793733681462141,False,False,198,-1.21925,activator-majority
DataSet_01_203,XBP1,0.45822454308093996,False,False,53,-2.69096,activator-majority
DataSet_01_204,XBP1,0.07180156657963446,True,False,53,-1.83171,activator-majority
DataSet_01_211,REST,0.0013054830287206266,True,True,73,-1.90083,no default edges
DataSet_01_213,SOX11,0.11879895561357702,False,False,11,-1.94653,activator-majority
