variant,timepoint,CTNNB1,EZH2,FOS,GATA2,HDAC1,HDAC5,JUN,MECP2,MEF2D,NCOA3,NFATC4,NPM1,PML,RB1,RUNX1,SMAD1,STAT1,WWTR1,YAP1
ulm,6h,-0.6279672815818003,-0.055481967765154155,-1.1603504384952859,-1.016673118843897,-2.4842830480609317,0.4308035972490955,-1.359320524533448,0.7147699351960284,-0.5455640780243274,0.47288350788202016,-0.44142064423688715,-0.03917528604980305,0.038119363386593476,0.09720203075828723,0.6210870994106032,-0.2959847017740858,-1.0508019932131145,-0.3674033370507542,-0.11018301835994071
ulm,12h,-0.5169479599626099,0.3676929423900188,1.046922218016361,-0.8825536480872099,-2.5740024164106514,-0.40741008253535177,1.9747987794110127,0.966042850890128,-0.04037816886702555,1.379138277094752,0.46557222028948997,0.5389226962615777,-1.06341337165971,1.0400702365604475,-0.1867051148713348,1.4212057531544158,-0.49650421758332747,-0.7015098430098273,-0.2509667432678687
ulm,24h,-3.1598719648276945,0.019559154052023357,-2.2317620062885446,-1.0840457174263955,-1.1360739056163942,-0.08789204617694898,-2.498960081839159,1.166674811553917,1.2280341329955071,1.0397907904279822,-0.2651569110622239,0.4002887204393167,0.3109517800048936,0.6933485308232609,-1.2914168394070449,0.6732095488061454,-1.6435247234700845,-0.5047377835241481,-0.4993231590418511
masked,6h,-0.6379221496777174,-0.0827544156742335,-0.7125532423023349,-0.9892395565098756,-2.4843049676043574,0.4308645819484269,-1.4152897875515533,0.714832647328165,-0.40520410118497585,0.49994249820743664,-0.384289561523669,-0.039053250379671764,0.093539499316142,0.10039054987746515,0.6269404760249792,-0.29602895383542477,-1.0640296046324427,-0.3674084472707458,-0.11015652502372332
masked,12h,-0.5198369457064981,0.34676940601799583,1.4381026125253127,-0.8171153789016153,-2.5740208829684916,-0.40739403942775715,1.9221471666491494,0.9661530216739354,0.009540863313351142,1.26577814450391,0.5933315324594497,0.538937891701002,-0.7521877975456223,1.088553299605731,-0.23106065517743735,1.4212002929349452,-0.5025472906902604,-0.701450904901644,-0.2508997139158
masked,24h,-3.1539055518196153,0.0008000425880839126,-1.913463794387258,-1.1279320611126507,-1.1358660368658955,-0.08787467750751139,-2.593476809973507,1.1666294398986747,1.0458982727706265,0.9660971098072676,-0.41248942829093443,0.40019757180266435,0.38846025604659246,0.697011462759842,-1.3902941726979332,0.6734138025726838,-1.583487699799771,-0.5047640065998702,-0.4992724096972524
no_self_edge,6h,-0.6449222359379004,-0.07572346919039215,-0.724898600008992,-0.9883748351362375,-2.4842830480609317,0.4308035972490955,-1.4144900682074928,0.7147699351960284,-0.3977692220922138,0.5162930114887423,-0.37612817491530104,-0.03917528604980305,0.11877259490101649,0.08738510932622919,0.637983314219681,-0.2959847017740858,-1.0612556080446407,-0.3674033370507542,-0.11018301835994071
no_self_edge,12h,-0.5255445421687308,0.35434777542847035,1.4306353836691736,-0.816486639061367,-2.5740024164106514,-0.40741008253535177,1.9263386989586238,0.966042850890128,0.02520333027936843,1.2871672359629796,0.6194362230731936,0.5389226962615777,-0.7629674857018324,1.0958849898448408,-0.22609278624065665,1.4212057531544158,-0.4993476623214692,-0.7015098430098273,-0.2509667432678687
no_self_edge,24h,-3.1699028511156504,0.011753236119843474,-1.9295173293996444,-1.1233853919694248,-1.1360739056163942,-0.08789204617694898,-2.593070701455815,1.166674811553917,1.1037331335589384,0.9919805433007366,-0.39767231085291305,0.4002887204393167,0.43490186451444757,0.6877098332016094,-1.3861982991288733,0.6732095488061454,-1.5783747733727873,-0.5047377835241481,-0.4993231590418511
