,auroc,ci,auprc,rank,top10,top5,better,worse,nTF,d_holds,d_null
anchor,0.9572395455644187,"[0.940,0.971]",0.9231246330924688,0.0632737390382656,0.8375634517766497,0.6903553299492385,0.0,0.0,613.0,0.0,0.0
(a) MASK own gene,0.9570945129320764,"[0.940,0.971]",0.9223135066642324,0.0628628778076374,0.8375634517766497,0.6903553299492385,0.3248730964467005,0.6751269035532995,612.0,0.006434959770710314,1.313052638489552e-05
(b) NOSELF edge,0.9570945129320764,"[0.940,0.971]",0.9223141563273468,0.0634973211550086,0.8426395939086294,0.6852791878172588,0.10152284263959391,0.22842639593908629,613.0,0.0,0.0
(c) NOOTHER regulons,0.9572395455644187,"[0.940,0.971]",0.9231246330924688,0.0625808699114163,0.8375634517766497,0.6954314720812182,0.38071065989847713,0.6192893401015228,612.0,0.0064511896129009925,0.0
SHUF x10 mean [min-max],0.5496229151559101,"[0.433,0.701]",0.37476301169121434,0.49401739850901716,0.06040609137055838,0.02233502538071066,0.03147208121827411,0.9685279187817258,581.5,0.22125400043372312,0.2020288827451477
