exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_01_103,HNF1B,1.0,True,+1,65,-1,0.018276762402088774,0.0195822454308094,0.020887728459530026
DataSet_01_105,FOXA1,0.0,False,none,69,-1,0.04960835509138381,0.04960835509138381,0.04960835509138381
DataSet_01_112,HSF1,1.0,True,+1,98,-1,0.2402088772845953,0.3838120104438642,0.381201044386423
DataSet_01_114,ARID1A,0.0,False,none,8,-1,0.7898172323759791,0.7898172323759791,0.7898172323759791
DataSet_01_117,ID1,1.0,True,+1,77,-1,0.7924281984334204,0.835509138381201,0.8211488250652742
DataSet_01_118,ID1,1.0,True,+1,77,-1,0.0835509138381201,0.16971279373368145,0.16579634464751958
DataSet_01_121,ZIC2,0.0,False,none,7,-1,0.5182767624020888,0.5182767624020888,0.5182767624020888
DataSet_01_123,ZNF91,0.0,False,none,48,-1,0.4699738903394256,0.4699738903394256,0.4699738903394256
DataSet_01_132,EGR4,0.0,False,none,15,-1,0.05221932114882506,0.05221932114882506,0.05221932114882506
DataSet_01_135,SPDEF,1.0,True,+1,19,-1,0.04960835509138381,0.14490861618798956,0.1514360313315927
DataSet_01_136,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_138,IKZF1,0.0,False,none,51,-1,0.9673629242819843,0.9673629242819843,0.9673629242819843
DataSet_01_142,LEF1,1.0,True,+1,116,-1,0.028720626631853787,0.11618798955613577,0.10966057441253264
DataSet_01_145,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_147,EHF,0.0,False,none,13,-1,0.391644908616188,0.391644908616188,0.391644908616188
DataSet_01_148,MYBL2,1.0,True,+1,51,-1,0.0926892950391645,0.19973890339425587,0.19973890339425587
DataSet_01_149,ETS2,1.0,True,+1,105,-1,0.8407310704960835,0.95822454308094,0.9569190600522193
DataSet_01_150,TFAP2C,1.0,True,+1,34,-1,0.0039164490861618795,0.007832898172323759,0.009138381201044387
DataSet_01_151,TEAD4,0.0,False,none,11,-1,0.03524804177545692,0.03524804177545692,0.03524804177545692
DataSet_01_154,STAT1,1.0,True,+1,294,-1,0.412532637075718,0.48433420365535246,0.48433420365535246
DataSet_01_155,HSF1,1.0,True,+1,98,-1,0.007832898172323759,0.02741514360313316,0.02610966057441253
DataSet_01_156,HIF1A,-1.0,True,-1,447,-1,0.1422976501305483,0.04699738903394256,0.031331592689295036
DataSet_01_162,ELK1,0.0,False,none,58,-1,0.2950391644908616,0.2950391644908616,0.2950391644908616
DataSet_01_164,JUN,1.0,True,+1,637,-1,0.024804177545691905,0.02741514360313316,0.02741514360313316
DataSet_01_165,MAF,1.0,True,+1,62,-1,0.02741514360313316,0.04699738903394256,0.04699738903394256
DataSet_01_166,NFATC3,0.0,False,none,40,-1,0.6932114882506527,0.6932114882506527,0.6932114882506527
DataSet_01_168,STAT3,1.0,True,+1,425,-1,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533
DataSet_01_169,HOXB7,0.0,False,none,23,-1,0.1122715404699739,0.1122715404699739,0.10704960835509138
DataSet_01_170,HOXB7,0.0,False,none,23,-1,0.9647519582245431,0.9647519582245431,0.9647519582245431
DataSet_01_171,FOSL1,0.0,False,none,50,-1,0.5234986945169713,0.5234986945169713,0.5195822454308094
DataSet_01_173,ESRRG,1.0,True,+1,26,-1,0.12532637075718014,0.26762402088772846,0.26762402088772846
DataSet_01_175,TP53,1.0,True,+1,931,-1,0.005221932114882507,0.009138381201044387,0.005221932114882507
DataSet_01_176,NR2F2,1.0,True,+1,79,-1,0.018276762402088774,0.2963446475195822,0.283289817232376
