exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_03_238,SOX11,0.0,False,none,11,-1,0.1866840731070496,0.1866840731070496,0.1866840731070496
DataSet_03_239,SOX11,0.0,False,none,11,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_03_241,SOX2,1.0,True,+1,88,-1,0.23368146214099217,0.4425587467362924,0.43733681462140994
DataSet_03_242,SOX2,1.0,True,+1,88,-1,0.024804177545691905,0.05613577023498695,0.050913838120104436
DataSet_03_244,SOX2,1.0,True,+1,88,-1,0.006527415143603133,0.009138381201044387,0.009138381201044387
DataSet_03_246,SOX4,1.0,True,+1,22,-1,0.8302872062663186,0.8759791122715405,0.8746736292428199
DataSet_03_249,SP1,1.0,True,+1,1260,-1,0.737597911227154,0.7741514360313316,0.7702349869451697
DataSet_03_251,SP1,1.0,True,+1,1260,-1,0.10052219321148825,0.11879895561357702,0.10835509138381201
DataSet_03_253,SPIB,1.0,True,+1,18,-1,0.016971279373368148,0.34856396866840733,0.35117493472584854
DataSet_03_255,SSRP1,0.0,False,none,146,-1,0.5848563968668408,0.5848563968668408,0.5835509138381201
DataSet_03_256,STAT1,1.0,True,+1,294,-1,0.06919060052219321,0.12140992167101827,0.11488250652741515
DataSet_03_258,STAT3,1.0,True,+1,425,-1,0.048302872062663184,0.04960835509138381,0.04960835509138381
DataSet_03_259,STAT3,1.0,True,+1,425,-1,0.4451697127937337,0.5613577023498695,0.5613577023498695
DataSet_03_260,STAT3,1.0,True,+1,425,-1,0.6422976501305483,0.737597911227154,0.7349869451697127
DataSet_03_261,STAT3,1.0,True,+1,425,-1,0.010443864229765013,0.031331592689295036,0.02741514360313316
DataSet_03_262,STAT3,1.0,True,+1,425,-1,0.9673629242819843,0.9751958224543081,0.9751958224543081
DataSet_03_264,STAT6,1.0,True,+1,124,-1,0.9060052219321149,0.9321148825065274,0.9321148825065274
DataSet_03_267,TCF7L1,0.0,False,none,6,-1,0.06657963446475196,0.06657963446475196,0.06657963446475196
DataSet_03_274,TFAP2C,1.0,True,+1,34,-1,0.05613577023498695,0.097911227154047,0.10052219321148825
DataSet_03_275,TFE3,1.0,True,+1,37,-1,0.05483028720626632,0.09138381201044386,0.0926892950391645
DataSet_03_277,TP53,1.0,True,+1,931,-1,0.283289817232376,0.32114882506527415,0.29112271540469975
DataSet_03_284,TWIST2,1.0,True,+1,34,-1,0.013054830287206266,0.17885117493472585,0.19451697127937337
DataSet_03_287,ZHX2,-1.0,True,-1,11,-1,0.8133159268929504,0.2989556135770235,0.31201044386422977
DataSet_04_015,NKRF,0.0,False,none,9,-1,0.206266318537859,0.206266318537859,0.206266318537859
DataSet_04_019,SMAD2,0.0,False,none,103,-1,0.9543080939947781,0.9543080939947781,0.9543080939947781
DataSet_04_020,SMAD4,0.0,False,none,136,-1,0.3381201044386423,0.3381201044386423,0.3368146214099217
DataSet_04_022,STAT1,1.0,True,+1,294,-1,0.8159268929503917,0.8720626631853786,0.8707571801566579
DataSet_04_024,YBX1,1.0,True,+1,91,-1,0.37989556135770236,0.5796344647519582,0.5678851174934726
DataSet_04_036,SMAD2,0.0,False,none,103,-1,0.587467362924282,0.587467362924282,0.5861618798955613
DataSet_04_037,SMAD4,0.0,False,none,136,-1,0.13968668407310705,0.13968668407310705,0.13577023498694518
DataSet_04_041,YBX1,1.0,True,+1,91,-1,0.028720626631853787,0.06788511749347259,0.07049608355091384
